race_id,row,col,exacta,exacta_reverse,quinella_place,verdict
2016-09-25_1_11,13,1,9999.9,9999.9,1086.7,bet placed
2016-09-25_1_11,13,3,9999.9,9999.9,1132.9,bet placed
2016-09-25_3_01,3,7,9999.9,9999.9,460.1,bet placed
2016-09-25_3_01,3,8,9999.9,9999.9,624.2,bet placed
2016-09-25_3_01,6,8,9999.9,8435.0,741.7,bet placed
2016-09-25_3_01,7,3,9999.9,9999.9,460.1,bet placed
2016-09-25_3_01,8,3,9999.9,9999.9,624.2,bet placed
2016-09-25_3_01,11,8,9999.9,9041.3,323.7,bet placed
2016-09-30_3_01,10,2,9999.9,6049.5,683.5,bet placed
2016-09-30_3_02,5,10,9999.9,7884.2,704.7,bet placed
2016-09-30_3_02,6,10,9999.9,6178.1,847.8,bet placed
2016-09-30_3_02,9,10,9999.9,8565.1,813.5,bet placed
2016-10-01_1_08,1,9,9999.9,9999.9,414.3,bet placed
2016-10-01_1_08,9,1,9999.9,9999.9,414.3,bet placed
2016-10-01_1_08,9,2,9999.9,8941.2,491.9,bet placed
2016-10-02_1_01,4,8,9999.9,8385.1,321.9,bet placed
2016-10-02_1_01,5,8,9999.9,9999.9,396.7,bet placed
2016-10-02_1_01,8,5,9999.9,9999.9,396.7,bet placed
2016-10-02_3_01,9,3,9999.9,4747.2,388.7,bet placed
2016-10-02_3_01,11,3,9999.9,5808.8,404.7,bet placed
2016-10-07_3_02,1,4,9999.9,9999.9,262.6,bet placed
2016-10-07_3_02,1,8,9999.9,9999.9,575.6,bet placed
2016-10-07_3_02,1,11,9999.9,9999.9,501.1,bet placed
2016-10-07_3_02,1,12,9999.9,8839.1,248.1,bet placed
2016-10-07_3_02,4,1,9999.9,9999.9,262.6,bet placed
2016-10-07_3_02,4,8,9999.9,9999.9,790.0,bet placed
2016-10-07_3_02,4,11,9999.9,9999.9,864.6,bet placed
2016-10-07_3_02,4,12,9999.9,8882.5,266.5,bet placed
2016-10-07_3_02,6,8,9999.9,9999.9,290.7,bet placed
2016-10-07_3_02,6,12,9999.9,9999.9,199.8,bet placed
2016-10-07_3_02,8,1,9999.9,9999.9,575.6,bet placed
2016-10-07_3_02,8,4,9999.9,9999.9,790.0,bet placed
2016-10-07_3_02,8,6,9999.9,9999.9,290.7,bet placed
2016-10-07_3_02,8,12,9999.9,9999.9,619.8,bet placed
2016-10-07_3_02,10,4,9999.9,6589.2,121.5,bet placed
2016-10-07_3_02,11,1,9999.9,9999.9,501.1,bet placed
2016-10-07_3_02,11,4,9999.9,9999.9,864.6,bet placed
2016-10-07_3_02,11,6,9999.9,6121.7,512.6,bet placed
2016-10-07_3_02,11,8,9999.9,7023.3,426.8,bet placed
2016-10-07_3_02,12,6,9999.9,9999.9,199.8,bet placed
2016-10-07_3_02,12,8,9999.9,9999.9,619.8,bet placed
2016-10-09_1_01,2,7,9999.9,9999.9,466.0,bet placed
